OBJECTID,NAME,CATEGORY,ZIP_CODE,COMMENTS,Location 1
116,HORRALL ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94401,,"949 Ocean View Ave.
SAN MATEO, CA 94401
(37.569677740608050, -122.303078865885920)"
117,TERRA NOVA HIGH SCHOOL,HIGH SCHOOL,94404,,"1450 Terra Nova Blvd.
PACIFICA, CA 94404
(37.591646691039564, -122.475499137153990)"
118,ORTEGA ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94044,,"1283 Terra Nova Blvd.
PACIFICA, CA 94044
(37.587892215810605, -122.477457026993830)"
119,ARBOR BAY SCHOOL,K-8 SCHOOL,94070,,"1017 Cedar Street
SAN CARLOS, CA 94070
(37.497192522050469, -122.259245721615970)"
120,ODDSTAD ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94044,VACANT. Source - Pacifica School District,"930 Oddstad Boulevard
PACIFICA, CA 94044
(37.587293504699346, -122.468589647229830)"
121,FRANKLIN ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94010,,"2385 Trousdale Dr.
BURLINGAME, CA 94010
(37.589047995740835, -122.388932343402700)"
122,BURLINGAME INTERMEDIATE SCHOOL,INTERMEDIATE SCHOOL,94010,,"1715 Quesada Way
BURLINGAME, CA 94010
(37.588414882324187, -122.385385416470270)"
123,LINDA MAR EDUCATIONAL CENTER SCHOOL,K-8 SCHOOL,94044,,"830 Rosita Rd.
PACIFICA, CA 94044
(37.585707927385492, -122.497415707941500)"
124,LINCOLN ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94010,,"1801 Devereux Dr.
BURLINGAME, CA 94010
(37.588155429493462, -122.379178433352790)"
125,BREWER ISLAND ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94404,,"1151 Polynesia Dr.
FOSTER CITY, CA 94404
(37.560723717601384, -122.261207602670590)"
126,BOWDITCH MIDDLE SCHOOL,MIDDLE SCHOOL,94404,,"1450 Tarpon St.
FOSTER CITY, CA 94404
(37.560537606805681, -122.248840769242010)"
127,EVEREST PUBLIC HIGH SCHOOL,HIGH SCHOOL,94063,,"455 5th Ave.
Redwood City, CA 94063
(37.473429871452183, -122.203777813381750)"
128,ASPIRE EPA PHOENIX ACADEMY,7-12 SCHOOL,94303,Based on parcels tax use and Google,"1039 Garden St.
EAST PALO ALTO, CA 94303
(37.466978305242783, -122.131799260094250)"
